id,original_name,searched_name,popularity,followers,genres
1Yox196W7bzVNZI7RBaPnf,Megadeth(메가데스),Megadeth,71,5900465,"['thrash metal', 'metal', 'heavy metal', 'speed metal']"
2tRsMl4eGxwoNabM08Dm4I,Judas Priest(주다스 프리스트),Judas Priest,68,4377911,"['heavy metal', 'metal', 'hard rock', 'glam metal', 'speed metal']"
04gDigrS5kc9YWfZHwBETP,Maroon 5,Maroon 5,88,44918615,"['rock', 'pop']"
36QJpDe2go2KgaRleHCDTp,Led Zeppelin(레드 제플린),Led Zeppelin,79,15501372,"['classic rock', 'rock', 'hard rock', 'rock and roll']"
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton(에릭 클랩튼),Eric Clapton,73,6363721,"['blues', 'blues rock', 'classic rock']"
6QQuESLtKhAOcLW2TeWC2t,Art Blakey,Art Blakey,37,136511,"['hard bop', 'jazz', 'bebop']"
3FYwrGRWL93eQGcUoVkDO1,웅산,Woong San,31,7033,['vocal jazz']
6O7LgtO6NKOOOudzRayUfJ,브라운 아이즈(Brown Eyes),Brown Eyes,41,78071,['k-ballad']
1Wy1e0PWp38kSSC4xD1pCb,Phony PPL,Phony PPL,1,31,"['neo soul', 'indie r&b', 'jazz rap']"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa(두아 리파),Dua Lipa,89,46060305,"['pop', 'dance']"
6dhfy4ByARPJdPtMyrUYJK,백예린,Yerin Baek,59,727705,['k-ballad']
5Z71xE9prhpHrqL5thVMyK,tripleS,tripleS,64,588846,"['k-pop', 'dance']"
