곡,아티스트,앨범
Holy Wars...The Punishment Due (2004 Remix),Megadeth(메가데스),Rust In Peace (2004 Remix / Expanded Edition)
Lucretia (2004 Remix),Megadeth(메가데스),Rust In Peace (2004 Remix / Expanded Edition)
Hangar 18 (2004 Remix),Megadeth(메가데스),Rust In Peace (2004 Remix / Expanded Edition)
Tornado Of Souls (2004 Remix),Megadeth(메가데스),Rust In Peace (2004 Remix / Expanded Edition)
Symphony Of Destruction,Megadeth(메가데스),Countdown To Extinction
The Sentinel,Judas Priest(주다스 프리스트),The Essential Judas Priest
Ram It Down,Judas Priest(주다스 프리스트),The Essential Judas Priest
Painkiller,Judas Priest(주다스 프리스트),The Essential Judas Priest
Harder To Breathe,Maroon 5,Songs About Jane
This Love,Maroon 5,Songs About Jane
She Will Be Loved,Maroon 5,Songs About Jane
Sunday Morning,Maroon 5,Songs About Jane
Immigrant Song,Led Zeppelin(레드 제플린),Led Zeppelin III [Deluxe Edition]
Stairway To Heaven,Led Zeppelin(레드 제플린),Led Zeppelin IV
Babe I'm Gonna Leave You (Remaster),Led Zeppelin(레드 제플린),Led Zeppelin [Deluxe Edition]
Tears in Heaven,Eric Clapton(에릭 클랩튼),질주 (Rush) OST
White Christmas,Eric Clapton(에릭 클랩튼),Happy Xmas
Blue Eyes Blue,Eric Clapton(에릭 클랩튼),런어웨이 브라이드 (Runaway Bride)
Moanin',Art Blakey(아트 블래키),The Very Best Of Art Blakey - The Blue Note Years
Miss Mister,웅산,Miss Mister (1st Special Gift Album)
Street Life,웅산,Tomorrow
벌써 일년,브라운 아이즈(Brown Eyes),Brown Eyes
점점,브라운 아이즈(Brown Eyes),Reason 4 Breathing?
Why iii Love The Moon.,Phony PPL,Yesterday's Tomorrow
Don't Start Now,Dua Lipa(두아 리파),Future Nostalgia
Love Again,Dua Lipa(두아 리파),Future Nostalgia
Physical,Dua Lipa(두아 리파),Future Nostalgia
Square (2017),백예린 (Yerin Baek),Every letter I sent you.
그건 아마 우리의 잘못은 아닐 거야,백예린,Our love is great
우주를 건너,백예린,FRANK
어느 새 (디깅클럽서울 Ver.),백예린 (Yerin Baek),온스테이지 디깅클럽서울 THEME 01
Generation,tripleS,Acid Angel from Asia <ACCESS>
Girls' Capitalism,tripleS,LOVElution <ↀ>
깨어 (Are You Alive),tripleS,<Assemble25>
이면의 이면 (Beyond the Beyond),tripleS,<Assemble24>
Girls Never Die,tripleS,<Assemble24>
